"Rank","WSIT","Flex Position (RB/WR/TE)","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"88","","Trey Burton","CHI","TE10","5","67","120","81.8","9.1"
"74","","Peyton Barber","TB","RB34","5","67","144","84.0","7.5"
"89","","Austin Hooper","ATL","TE11","8","67","102","84.0","9.3"
"75","","Demaryius Thomas","HOU","WR34","10","52","126","84.4","16.7"
"90","","Theo Riddick","DET","RB39","6","65","162","85.5","16.0"
"76","","Jordan Reed","WAS","TE8","4","58","106","85.9","11.1"
"92","","John Brown","BAL","WR41","10","63","147","87.2","13.9"
"77","","Tre'Quan Smith","NO","WR35","6","77","118","87.4","9.1"
"93","","Devin Funchess","CAR","WR42","4","76","125","87.5","8.7"
"94","","Anthony Miller","CHI","WR43","5","75","108","90.0","5.9"
"95","","David Moore","SEA","WR44","7","73","128","90.5","10.3"
"96","","Isaiah Crowell","NYJ","RB41","11","69","103","91.5","3.9"
"97","","Taylor Gabriel","CHI","WR45","5","69","129","93.2","10.9"
"79","","Doug Martin","OAK","RB35","7","66","116","94.0","10.5"
"98","","Keke Coutee","HOU","WR46","10","77","165","96.0","10.1"
"81","","Jalen Richard","OAK","RB36","7","82","144","97.1","12.0"
"82","","Derrick Henry","TEN","RB37","8","71","115","97.6","12.4"
"99","","Mohamed Sanu","ATL","WR47","8","79","129","100.5","13.4"
"85","","DeSean Jackson","TB","WR39","5","79","121","101.4","8.9"
"87","","Duke Johnson","CLE","RB38","11","55","143","102.7","14.2"
"100","","Kyle Rudolph","MIN","TE12","10","65","117","103.3","8.8"
"101","","Chris Thompson","WAS","RB42","4","82","124","103.7","10.2"
"102","","Frank Gore","MIA","RB43","11","90","126","104.0","8.1"
"103","","Rashaad Penny","SEA","RB44","7","60","139","104.8","9.8"
"104","","Vance McDonald","PIT","TE13","7","96","130","105.0","9.2"
"122","","Dante Pettis","SF","WR57","11","73","140","105.0","11.2"
"105","","Jimmy Graham","GB","TE14","7","81","120","106.0","8.3"
"106","","Michael Crabtree","BAL","WR48","10","96","150","106.3","7.2"
"107","","Mike Williams","LAC","WR49","8","84","127","106.7","10.7"
"108","","Justin Jackson","LAC","RB45","8","84","148","107.3","17.7"
"91","","Royce Freeman","DEN","RB40","10","70","173","108.4","15.6"
"109","","Tyrell Williams","LAC","WR50","8","76","167","111.0","12.9"
"110","","C.J. Uzomah","CIN","TE15","9","91","129","113.5","5.4"
"111","","Donte Moncrief","JAC","WR51","9","66","137","113.8","12.3"
"112","","John Ross","CIN","WR52","9","90","182","114.8","13.1"
"134","","Jeffery Wilson","SF","RB52","11","102","136","115.0","11.4"
"113","","Chris Herndon IV","NYJ","TE16","11","85","161","116.2","5.4"
"114","","Nyheim Hines","IND","RB46","9","92","143","118.2","9.2"
"115","","Curtis Samuel","CAR","WR53","4","88","197","119.3","25.5"
"116","","LeGarrette Blount","DET","RB47","6","84","161","120.3","9.5"
"117","","Josh Doctson","WAS","WR54","4","99","181","120.7","11.0"
"118","","Evan Engram","NYG","TE17","9","104","151","121.3","14.0"
"119","","Rex Burkhead","NE","RB48","11","84","163","122.7","14.5"
"120","","Willie Snead","BAL","WR55","10","67","137","122.8","9.5"
"140","","Chris Conley","KC","WR66","12","87","189","124.2","27.5"
"141","","Bruce Ellington","DET","WR67","6","106","157","124.8","13.4"
